feature,cluster_id
f22_eia_release_flag,14
f22_eia_crude_change_z26w,2
f1_bb_pctb_20,1
f1_rsi_14,1
f2_vol_60,9
f2_vol_ratio_20_60,2
f2_vol_of_vol_20,9
f5_trailing_run_length,8
f5_signal_entropy_20,8
f5_flip_rate_60,8
f5_long_bias_20,12
f5_participation_60,7
f6_ts_momentum_20,1
f6_ts_momentum_60,2
f6_ma_cross_20_60,2
f6_macd_12_26,2
f6_macd_signal_9,2
f6_macd_hist,16
f7_volume_z_20,13
f7_volume_trend_20,13
f7_oi_level,7
f7_oi_change_20,16
f7_overnight_gap,16
f8_dow_sin,14
f8_dow_cos,14
f8_month_cos,12
f10_oc_ret,16
f10_oc_ret_mean_20,1
f12_efficiency_ratio_21,10
f12_variance_ratio_5_21,15
f12_trend_tval_21,1
f12_autocorr_21,15
f12_hurst_100,9
f9_xsect_rank_60,16
f9_pair_corr_mean_63,9
f9_implied_corr_z_252,9
f21_gold_silver_z63,2
f11_vix_rank63,3
f11_move_rank63,11
f11_skew_rank63,2
f11_ust2_rank63,5
f11_ig_oas_rank63,5
f11_lme_copper_rank63,5
f11_eia_ng_stock_rank63,12
f11_vix_chg20,3
f11_move_chg20,11
f11_dxy_chg20,4
f11_hy_oas_chg20,3
f11_be10y_chg20,6
f11_eurusd_chg20,4
f11_vix_chg5,3
f11_ust10_chg5,6
f11_dxy_chg5,4
f11_be10y_chg5,6
f11_hy_oas_chg5,3
f11_vix_term_slope,2
f15_path_tortuosity_20,10
f15_semi_vol_ratio_20,1
ewma_hmm_prob_highvol,7
